Season,TEAM,Champion,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2016-17,Golden State Warriors,,80,66,14,116.2,43.2,87.1,49.5,12,31.3,38.4,17.9,22.6,79,9.4,35,44.3,30.5,9.6,6.8,14.7,19.4
2016-17,San Antonio Spurs,,80,61,19,105.5,39.3,83.7,47,9.2,23.6,39.1,17.7,22.2,79.8,9.9,34,43.9,24,8,5.9,13.4,18.3
2016-17,Houston Rockets,,80,54,26,115.5,40.3,87.1,46.3,14.4,40.1,35.9,20.4,26.6,76.7,10.8,33.5,44.4,25.1,8.2,4.3,15.2,20
2016-17,Cleveland Cavaliers,,80,51,29,110.6,40,85,47.1,13,33.8,38.5,17.4,23.3,74.7,9.4,34.4,43.7,22.7,6.6,4,13.6,18.1
2016-17,Boston Celtics,,80,51,29,107.9,38.6,85,45.4,12,33.3,36,18.8,23.2,80.8,9.1,32.8,41.8,25.1,7.5,4.2,13.3,20.6
2016-17,Toronto Raptors,,81,50,31,107,39.1,84.3,46.4,8.9,24.3,36.4,19.8,24.8,79.8,10.6,32.6,43.2,18.5,8.3,4.9,12.7,20.8
2016-17,LA Clippers,,80,49,31,108.4,39.4,83.1,47.4,10.3,27.4,37.5,19.3,25.9,74.4,8.9,34,43,22.4,7.5,4.3,13.1,19.9
2016-17,Utah Jazz,,80,49,31,100.7,36.9,79.3,46.5,9.6,25.8,37.2,17.2,23,74.9,9.4,33.9,43.3,20,6.7,5,13.6,18.9
2016-17,Washington Wizards,,80,48,32,109.3,41.3,87.1,47.4,9.3,24.8,37.4,17.5,22.3,78.3,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.5
2016-17,Oklahoma City Thunder,,80,46,34,106.7,39.5,87.3,45.2,8.5,25.9,32.7,19.3,25.9,74.6,12.1,34.4,46.5,21,7.9,5,15,20.9
2016-17,Memphis Grizzlies,,81,43,38,100.6,36.4,83.6,43.6,9.4,26.5,35.4,18.3,23.4,78.3,10.7,32,42.7,21.3,8,4.2,12.9,22.4
2016-17,Atlanta Hawks,,80,42,38,103.4,38.2,84.6,45.1,8.9,26,34.2,18.2,25,72.7,10.3,34.1,44.4,23.6,8.3,4.9,15.7,18.2
2016-17,Milwaukee Bucks,,80,41,39,103.9,38.9,81.9,47.5,8.7,23.7,36.8,17.5,22.7,76.8,8.8,31.5,40.3,24.1,8.2,5.3,13.9,20.3
2016-17,Indiana Pacers,,80,40,40,104.9,39.2,84.6,46.3,8.7,23.1,37.6,17.9,22.1,81,9,33,42,22.4,8.2,5,13.8,19.5
2016-17,Portland Trail Blazers,,80,40,40,108.2,39.6,86.1,46,10.3,27.7,37.3,18.7,23.9,78.2,10.1,33.5,43.6,21.2,7.1,5,13.7,21.3
2016-17,Miami Heat,,80,39,41,102.8,38.9,85.7,45.4,9.9,27,36.5,15.2,21.5,70.5,10.6,32.9,43.5,21.2,7.2,5.8,13.4,20.5
2016-17,Chicago Bulls,,80,39,41,102.5,38.5,87,44.3,7.5,22.2,33.6,18.1,22.6,79.7,12.2,33.8,46,22.4,7.7,4.8,13.6,17.8
2016-17,Denver Nuggets,,80,38,42,111.8,41.2,87.8,46.9,10.6,28.7,36.8,18.8,24.3,77.4,11.9,34.5,46.3,25.3,6.9,3.9,14.9,19.2
2016-17,Detroit Pistons,,80,37,43,101.2,39.8,88.5,45,7.6,23.2,32.9,14,19.4,72.1,11.1,34.7,45.7,21.1,7,3.8,11.9,17.9
2016-17,Charlotte Hornets,,80,36,44,105.6,37.9,85.4,44.4,10.2,28.8,35.4,19.6,24,81.6,8.7,35,43.7,23.2,6.9,4.8,11.5,16.7
2016-17,New Orleans Pelicans,,80,33,47,104.5,39.2,87,45,9.4,26.9,35,16.7,22.3,75,8.6,35.2,43.8,22.8,7.8,5.6,12.8,18.2
2016-17,Dallas Mavericks,,80,32,48,98,36.3,82.3,44,10.7,30,35.7,14.8,18.4,80.1,7.9,30.7,38.6,20.8,7.5,3.7,11.8,19.2
2016-17,Minnesota Timberwolves,,80,31,49,105.5,39.4,84.3,46.7,7.3,21,34.8,19.5,24.3,80.1,11.5,31,42.4,23.5,7.9,4.6,14.1,20.2
2016-17,Sacramento Kings,,80,31,49,102.6,37.8,82.1,46,9,24.1,37.5,18,23.2,77.5,8.8,32.2,40.9,22.4,7.7,4,14.7,20.3
2016-17,New York Knicks,,81,30,51,104.2,39.5,88.6,44.7,8.6,24.7,34.8,16.6,21,78.9,11.9,33.3,45.2,21.8,7.1,5.5,13.8,20.4
2016-17,Orlando Magic,,80,28,52,101.3,38.4,87,44.1,8.5,26.1,32.7,16,21.5,74.5,9.9,33.3,43.2,22.2,7.1,4.8,13.3,19.3
2016-17,Philadelphia 76ers,,80,28,52,102.2,37.6,85.3,44.1,10.1,29.8,34,16.9,21.9,77,9.8,33.3,43,23.9,8.4,5.2,16.7,21.9
2016-17,Los Angeles Lakers,,80,25,55,104.7,39.3,87.3,45,9,25.9,34.7,17.2,22.7,75.6,11.4,32.1,43.5,20.9,8.1,3.9,15.2,20.7
2016-17,Phoenix Suns,,81,24,57,107.7,39.9,88.3,45.2,7.5,22.5,33.3,20.5,26.4,77.8,11.8,33.1,44.9,19.6,8.2,4.9,15.5,24.8
2016-17,Brooklyn Nets,,80,20,60,106.2,38,85.2,44.7,10.8,31.6,34.3,19.3,24.5,78.6,8.8,35,43.8,21.5,7.2,4.7,16.6,21.1
